192.168.24.1,192.168.24.2
192.168.24.2,192.168.24.3
192.168.24.3,192.168.24.4
192.168.24.4,192.168.24.5
192.168.24.5,192.168.24.6
192.168.24.6,192.168.24.7
192.168.24.7,192.168.24.8
192.168.24.8,192.168.24.9
192.168.24.9,192.168.24.10
192.168.24.10,192.168.24.11
192.168.24.11,192.168.24.12
192.168.24.12,192.168.24.13
192.168.24.13,192.168.24.14
192.168.24.14,192.168.24.15
192.168.24.15,192.168.24.16
192.168.24.16,192.168.24.1
192.168.24.4,192.168.24.15
192.168.24.13,192.168.24.6
192.168.24.13,192.168.24.4
192.168.24.6,192.168.24.11
