1,Alchemist,strength,Radiant,released
2,Anti-mage,strength,Radiant,released
3,Huskar,strength,Radiant,released
4,Riki,agility,Radiant,released
5,Rubick,intelligence,Radiant,released
6,Beastmaster,strength,Radiant,released
7,Bounty Hunter,agility,Radiant,released
8,Brewmaster,strength,Radiant,released
9,Bristleback,strength,Radiant,released
10,Io,strength,Radiant,released
11,Jakiro,intelligence,Radiant,released
12,Juggernaut,agility,Radiant,released
13,Shadow Shaman,intelligence,Radiant,released
14,Silencer,intelligence,Radiant,released
15,Skywrath Mage,intelligence,Radiant,released
16,Sniper,intelligence,Radiant,released
17,Storm Spirit,intelligence,Radiant,released
18,Sven,strength,Radiant,released
19,Centaur Warrunner,strength,Radiant,released
20,Chen,Intelligence,Radiant,released
21,Clockwerk,strength,Radiant,released
22,Crystal Maiden,strength,Radiant,released
23,Keeper of the Light,intelligence,Radiant,released
24,Kunkka,strength,Radiant,released
25,Disruptor,intelligence,Radiant,released
26,Dragon Knight,strength,Radiant,released
27,Drow Ranger,agility,Radiant,released
28,Legion Commander,strength,Radiant,unreleased
29,Lina,intelligence,Radiant,released
30,Lone Druid,agility,Radiant,released
31,Luna,agility,Radiant,released
32,Templar Assassin,agility,Radiant,released
33,Timbersaw,strength,Radiant,released
34,Tinker,intelligence,Radiant,released
35,Tiny,strength,Radiant,released
36,Treant Protector,strength,Radiant,released
37,Troll Warlord,agility,Radiant,released
38,Tusk,strength,Radiant,released
39,Earth Spirit,strength,Radiant,unreleased
40,Earthshaker,strength,Radiant,released
41,Elder Titan,strength,Radiant,released
42,Ember Spirit,agility,Radiant,released
43,Enchantress,intelligence,Radiant,released
44,Mirana,agility,Radiant,released
45,Morphling,agility,Radiant,released
46,Ursa,agility,Radiant,released
47,Naga Siren,agility,Radiant,released
48,Nature's Prophet,intelligence,Radiant,released
49,Vengeful Spirit,agility,Radiant,released
50,Goblin Techies,intelligence,Radiant,unreleased
51,Gyrocopter,agility,Radiant,released
52,Ogre Magi,intelligence,Radiant,released
53,Omniknight,strength,Radiant,released
54,Oracle,intelligence,Radiant,unreleased
55,Windrunner,intelligence,Radiant,released
56,Zeus,intelligence,Radiant,released
57,Phantom Lancer,agility,Radiant,released
58,Phoenix,strength,Radiant,unreleased
59,Puck,intelligence,Radiant,released
60,Abaddon,strength,Dire,released
61,Abyssal Underlord,strength,Dire,unreleased
62,Ancient Apparition,intelligence,Dire,released
63,Arc Warden,agility,Dire,unreleased
64,Axe,strength,Dire,released
65,Leshrac,intelligence,Dire,released
66,Lich,intelligence,Dire,released
67,Lifestealer,strength,Dire,released
68,Lion,intelligence,Dire,released
69,Lycanthrope,strength,Dire,released
70,Shadow Demon,intelligence,Dire,released
71,Shadow Fiend,agility,Dire,released
72,Skeleton King,strength,Dire,released
73,Slardar,strength,Dire,released
74,Slark,agility,Dire,released
75,Soul Keeper,agility,Dire,unreleased
76,Spectre,agility,Dire,released
77,Spirit Breaker,strength,Dire,released
78,Bane,intelligence,Dire,released
79,Batrider,intelligence,Dire,released
80,Bloodseeker,agility,Dire,released
81,Broodmother,agility,Dire,released
82,Magnus,strength,Dire,released
83,Medusa,agility,Dire,released
84,Meepo,agility,Dire,releasaed
85,Tidehunter,strength,Dire,released
86,Chaos Knight,strength,Dire,released
87,Clinkz,agility,Dire,released
88,Necrolyte,intelligence,Dire,released
89,Nyx Assassin,agility,Dire,released
90,Undying,strength,Dire,released
91,Dark Seer,intelligence,Dire,released
92,Dazzle,intelligence,Dire,released
93,Death Prophet,intelligence,Dire,released
94,Doom,strength,Dire,released
95,Outworld Devourer,intelligence,Dire,released
96,Venomancer,agility,Dire,released
97,Viper,agility,Dire,released
98,Visage,intelligence,Dire,released
99,Enigma,intelligence,Dire,released
100,Queen of Pain,intelligence,Dire,released
101,Warlock,intelligence,Dire,released
102,Weaver,agility,Dire,released
103,Winter Wyvern,intelligence,Dire,unreleased
104,Witch Doctor,intelligence,Dire,released
105,Faceless Void,agility,Dire,released
106,Razor,agility,Dire,released
107,Invoker,Intelligence,Dire,released
108,Sand King,strength,Dire,released
109,Phantom Assassin,agiltiy,Dire,released
110,Pudge,strength,Dire,released
111,Pugna,intelligence,Dire,released
112,Night Stalker,strength,Dire,released
