Bob Marley,Reggae,Bulgaria,15,pork Pie,17/01/2012
Bon Jovi,Rock,Bulgaria,16,Vasil Levski,10/10/2010
Brother Ali,Metal,Bulgaria,80,Vasil Levski,18/03/2014
Cookie Monster,Reggae,Bulgaria,15,Pork Pie,17/01/2012
Fintroll,Metal,Bulgaria,80,Vasil Levski,18/03/2014
Hiltop Hoods,Reggae,Bulgaria,30	Pork Pie,17/01/2012
Jaya,Reggae,Bulgaria,16,Pork Pie,27/01/2012
Klek,Metal,Bulgaria,80,Vasil Levski,17/12/2012
Korpiklaani,Metal,Bulgaria,80,Vasil Levski,18/03/2014
Kreator,Metal,Bulgaria,40,Vasil Levski,18/03/2014
Moita Grupa,Rock,Bulgaria,60,Vasil Levski,16/09/2011
Overkill,Rock,Bulgaria,60,Vasil Levski,10/10/2010
Scorpions,Rock,Bulgaria,60,Vasil Levski,18/03/2014
Sodom,Reggae,Bulgaria,15,Pork Pie,17/01/2012
Trollhammer,Reggae,Bulgaria,15,Pork Pie,17/01/2012
Tumor,Reggae,Bulgaria,15,Pork Pie,15/12/2016
Whitesnake,Reggae,Bulgaria,15,Pork Pie,17/01/2012
