Samsung,Intel,1,2GB,1000GB,2916lv
Acer,Intel,1,1GB,2000GB,2794lv
Sony,Intel,1,16GB,1500GB,2172lv
Acer,Intel,2,8GB,1000GB,1662lv
HP,Intel,2,16GB,1500GB,2275lv
Acer,Intel,2,4GB,1500GB,2760lv
Lenovo,Intel,2,16GB,750GB,2603lv
HP,Intel,2,4GB,750GB,2009lv
Asus,Intel,2,16GB,250GB,2505lv
Sony,Intel,2,1GB,1000GB,2278lv
Apple,Intel,4,16GB,500GB,1102lv
HP,Intel,4,1GB,2000GB,1269lv
Asus,Intel,4,16GB,1500GB,748lv
HP,Intel,4,16GB,750GB,908lv
Sony,Intel,8,4GB,2000GB,789lv
Lenovo,Intel,8,2GB,2000GB,1502lv
Apple,Intel,8,16GB,2000GB,504lv
Samsung,Intel,8,1GB,2000GB,2646lv
